TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025,NU_NOTA_REDACAO
4,M,1,1,1,1,1,1,,0,,,,,,,4127106,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,476.7,456.7,450.6,510.2,0,1.0,C,E,C,F,3,D,A,D,D,D,B,B,B,B,A,B,A,B,D,A,A,D,A,B,B,605.38293
1,F,1,1,1,3,0,1,,1,,,,,,,4101606,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,551.9,483.0,573.4,661.3,0,1.0,G,G,E,D,5,Q,D,E,E,C,B,C,A,B,B,C,B,B,E,B,B,E,A,E,B,605.38293
3,F,1,1,1,2,0,2,1.0,0,4104907.0,41.0,PR,2.0,1.0,1.0,4104907,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,488.4,532.9,561.3,578.0,1,1.0,C,B,A,C,3,F,A,B,C,C,A,B,B,B,A,B,A,B,C,A,A,D,A,A,B,605.38293
3,M,1,1,1,2,0,3,1.0,0,,,,,,,4113700,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,539.4,555.0,564.4,620.4,0,1.0,F,E,D,D,6,N,A,C,D,B,B,B,B,B,A,A,A,B,C,B,B,E,B,E,B,605.38293
1,M,1,1,1,3,0,1,,1,,,,,,,4119905,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,631.6,633.9,574.4,734.2,0,1.0,F,G,E,D,3,Q,B,E,E,B,A,C,C,B,B,B,B,B,D,B,B,D,A,C,B,605.38293
2,F,1,1,1,2,0,2,1.0,0,4108304.0,41.0,PR,2.0,1.0,1.0,4108304,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,382.3,533.5,528.0,503.5,1,1.0,C,E,D,B,2,C,A,B,C,A,A,B,B,C,B,B,A,A,B,A,A,C,A,A,B,605.38293
3,M,1,1,1,2,0,2,1.0,0,4119301.0,41.0,PR,2.0,2.0,1.0,4119301,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,446.7,427.1,477.8,544.8,0,1.0,B,B,C,B,4,C,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,C,A,A,B,605.38293
3,F,1,1,1,2,0,3,1.0,0,4106902.0,41.0,PR,4.0,1.0,1.0,4106902,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,571.7,574.0,569.4,629.7,0,1.0,E,E,B,D,3,H,B,C,D,B,A,B,A,B,B,B,A,B,C,A,B,D,A,B,B,605.38293
2,M,1,3,1,2,0,2,1.0,0,4122404.0,41.0,PR,2.0,1.0,1.0,4122404,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,428.2,345.7,436.7,475.3,0,1.0,C,C,F,F,4,D,A,C,D,B,A,B,B,B,A,B,A,A,C,A,A,E,A,B,B,605.38293
2,F,1,1,1,2,0,2,1.0,0,,,,,,,4128203,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,528.1,550.5,515.6,424.7,0,1.0,D,E,D,B,5,E,A,B,D,B,A,B,A,B,A,A,A,B,B,A,A,E,A,B,B,605.38293
3,M,1,1,1,2,0,2,1.0,0,4115804.0,41.0,PR,2.0,1.0,1.0,4115804,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,605.7,618.0,566.0,569.9,0,1.0,F,G,D,D,4,L,A,B,C,B,A,B,A,B,A,B,A,A,C,A,A,E,A,C,B,605.38293
4,F,1,4,4,1,2,1,,0,,,,,,,4106902,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,459.2,601.4,592.6,582.2,1,1.0,B,E,D,D,4,E,A,C,D,B,A,B,B,B,B,B,A,B,B,A,A,C,A,A,B,605.38293
2,F,1,1,1,2,0,2,,0,,,,,,,4101408,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,387.9,470.2,534.7,596.4,1,1.0,C,E,C,B,3,C,A,B,D,B,B,B,A,B,A,B,A,A,B,A,A,C,A,A,B,605.38293
2,M,1,1,1,2,0,3,1.0,0,4106902.0,41.0,PR,4.0,1.0,1.0,4106902,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,683.2,704.9,615.0,762.1,0,1.0,G,G,E,E,4,P,D,E,E,D,A,C,D,B,B,B,A,B,E,B,B,E,B,C,B,605.38293
2,M,1,3,1,2,0,2,1.0,0,,,,,,,4109401,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,439.7,538.2,577.0,467.7,1,1.0,H,G,F,D,5,L,A,C,E,B,A,B,B,B,A,B,A,A,B,A,B,E,A,C,B,605.38293
2,F,1,1,1,3,0,1,,1,,,,,,,4104303,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,545.5,609.8,614.2,627.6,0,1.0,C,E,A,D,4,G,A,B,D,D,A,B,B,B,A,B,A,B,C,A,A,E,A,C,B,605.38293
2,M,1,1,1,2,0,2,1.0,0,4108304.0,41.0,PR,2.0,1.0,4.0,4108304,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,535.1,563.9,550.2,471.1,0,1.0,E,E,F,D,5,F,A,B,D,B,B,B,B,B,A,B,A,B,C,B,A,D,A,A,B,605.38293
3,F,1,1,1,1,1,1,,0,,,,,,,4106902,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,606.6,625.1,630.9,696.9,0,1.0,G,G,E,E,3,P,D,E,D,C,A,B,A,B,B,B,B,B,C,A,B,D,A,D,B,605.38293
5,F,1,1,1,1,3,1,,0,,,,,,,4120804,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,478.3,534.1,540.4,580.2,0,1.0,E,D,C,B,4,K,A,C,D,C,A,B,B,B,A,B,A,B,C,A,B,D,B,C,B,605.38293
6,F,2,1,1,1,0,1,,0,,,,,,,4104253,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,466.1,458.0,536.9,393.6,1,1.0,B,B,B,B,4,B,A,B,C,B,A,B,B,B,A,A,A,A,B,A,A,B,A,A,B,605.38293
2,F,1,1,1,2,0,2,1.0,0,4106209.0,41.0,PR,2.0,1.0,1.0,4113205,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,381.7,489.7,551.0,484.3,0,1.0,E,F,F,D,4,E,A,C,E,B,A,B,B,B,A,A,A,A,B,A,B,E,A,A,B,605.38293
